id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	91343b89-7b0d-4694-91e1-f744bea1d80d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.387 < 1.7	0.046424	0.042073	0.192752	0.09650000000000002	0.0965	12	18	5	16.0	0.095363	1.387062	0.999870	5.079772e-04	16.0362	16.0362	1.461461	0.063107	2.201836e-04	16.0312	1.461461	0.063107	2.201836e-04	16.0312	1.440285	0.024997	2.781004e-04	16.0325	1.440285	0.024997	2.781004e-04	16.0325	1.461461	0.063107	2.201836e-04	16.0312	1.461461	0.063107	2.201836e-04	16.0312	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
2	A2	91343b89-7b0d-4694-91e1-f744bea1d80d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.391 < 1.7	0.050458	0.042073	0.192752	0.09650000000000002	0.0965	12	18	4	15.5	0.089284	1.390929	0.999955	5.364746e-04	15.7355	15.7355	1.461461	0.063107	2.492146e-04	15.7048	1.461461	0.063107	2.492146e-04	15.7048	1.440285	0.024997	3.124790e-04	15.7130	1.440285	0.024997	3.124790e-04	15.7130	1.461461	0.063107	2.492146e-04	15.7048	1.461461	0.063107	2.492146e-04	15.7048	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	dfb3b743-1730-49ea-90e0-3a8d7a3d957c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.416 < 1.7	0.050808	0.042073	0.192752	0.09650000000000002	0.0965	11	19	4	16.5	0.085797	1.415684	0.999951	2.770312e-04	16.8382	16.8382	1.461461	0.063107	1.638649e-04	16.8098	1.461461	0.063107	1.638649e-04	16.8098	1.440285	0.024997	2.084836e-04	16.8222	1.440285	0.024997	2.084836e-04	16.8222	1.461461	0.063107	1.638649e-04	16.8098	1.461461	0.063107	1.638649e-04	16.8098	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	dfb3b743-1730-49ea-90e0-3a8d7a3d957c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.267 < 1.7	0.065839	0.042073	0.192752	0.09650000000000002	0.0965	11	19	7	14.0	0.090216	1.266650	0.999990	3.296774e-03	14.2849	14.2849	1.461461	0.063107	4.449003e-04	14.1775	1.461461	0.063107	4.449003e-04	14.1775	1.440285	0.024997	5.457607e-04	14.1846	1.440285	0.024997	5.457607e-04	14.1846	1.461461	0.063107	4.449003e-04	14.1775	1.461461	0.063107	4.449003e-04	14.1775	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No
5	A5	ea16bf9f-672b-4fd6-a5b7-89c3c4b1d453	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.572 < 1.7	0.052331	0.042073	0.192752	0.09650000000000002	0.0965	11	20	4	18.5	0.094007	1.571563	0.999380	2.192918e-05	18.5579	18.5579	1.461461	0.063107	8.406203e-05	18.5690	1.461461	0.063107	8.406203e-05	18.5690	1.440285	0.024997	1.101192e-04	18.5717	1.440285	0.024997	1.101192e-04	18.5717	1.461461	0.063107	8.406203e-05	18.5690	1.461461	0.063107	8.406203e-05	18.5690	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	ea16bf9f-672b-4fd6-a5b7-89c3c4b1d453	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.570 < 1.7	0.052823	0.042073	0.192752	0.09650000000000002	0.0965	11	20	4	18.5	0.089292	1.569518	0.999569	2.133699e-05	18.6722	18.6722	1.461461	0.063107	7.984524e-05	18.7046	1.461461	0.063107	7.984524e-05	18.7046	1.440285	0.024997	1.045953e-04	18.7128	1.440285	0.024997	1.045953e-04	18.7128	1.461461	0.063107	7.984524e-05	18.7046	1.461461	0.063107	7.984524e-05	18.7046	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	ed412b19-414f-4cda-aede-ab12801173fe	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.402 < 1.7	0.053625	0.042073	0.192752	0.09650000000000002	0.0965	11	19	5	16.0	0.089712	1.401781	0.999917	4.036121e-04	16.2160	16.2160	1.461461	0.063107	2.071356e-04	16.1922	1.461461	0.063107	2.071356e-04	16.1922	1.440285	0.024997	2.616204e-04	16.1999	1.440285	0.024997	2.616204e-04	16.1999	1.461461	0.063107	2.071356e-04	16.1922	1.461461	0.063107	2.071356e-04	16.1922	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	ed412b19-414f-4cda-aede-ab12801173fe	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.402 < 1.7	0.047528	0.042073	0.192752	0.09650000000000002	0.0965	12	19	4	16.5	0.098121	1.401912	0.999941	3.722801e-04	16.4507	16.4507	1.461461	0.063107	1.874021e-04	16.4561	1.461461	0.063107	1.874021e-04	16.4561	1.440285	0.024997	2.384297e-04	16.4543	1.440285	0.024997	2.384297e-04	16.4543	1.461461	0.063107	1.874021e-04	16.4561	1.461461	0.063107	1.874021e-04	16.4561	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	cb3e63ba-8cbb-44ae-ab61-e0f54d0b302f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.396 < 1.7	0.047101	0.042073	0.192752	0.09650000000000002	0.0965	12	18	5	16.0	0.086101	1.396423	0.999867	4.118448e-04	16.3415	16.3415	1.461461	0.063107	1.987983e-04	16.3005	1.461461	0.063107	1.987983e-04	16.3005	1.440285	0.024997	2.510900e-04	16.3125	1.440285	0.024997	2.510900e-04	16.3125	1.461461	0.063107	1.987983e-04	16.3005	1.461461	0.063107	1.987983e-04	16.3005	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	cb3e63ba-8cbb-44ae-ab61-e0f54d0b302f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.401 < 1.7	0.048862	0.042073	0.192752	0.09650000000000002	0.0965	11	18	4	16.5	0.096099	1.400830	0.999935	3.692848e-04	16.5123	16.5123	1.461461	0.063107	1.835410e-04	16.5110	1.461461	0.063107	1.835410e-04	16.5110	1.440285	0.024997	2.335173e-04	16.5114	1.440285	0.024997	2.335173e-04	16.5114	1.461461	0.063107	1.835410e-04	16.5110	1.461461	0.063107	1.835410e-04	16.5110	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
