id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	c1c5c78f-18db-42c4-8bc6-95e681fc911c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.436 < 1.7	0.046740	0.047098	0.202302	0.10100000000000002	0.101	12	20	4	18.5	0.107480	1.436335	0.999779	1.324627e-04	18.3283	18.3283	1.434444	0.059458	1.357309e-04	18.3276	1.436885	0.056239	1.315286e-04	18.3285	1.420658	0.021253	1.622820e-04	18.3229	1.420658	0.021253	1.622820e-04	18.3229	1.434444	0.059458	1.357309e-04	18.3276	1.436885	0.056239	1.315286e-04	18.3285	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	c1c5c78f-18db-42c4-8bc6-95e681fc911c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.450 < 1.7	0.049606	0.047098	0.202302	0.10100000000000002	0.101	11	20	4	17.5	0.084136	1.449766	0.999938	1.265517e-04	17.9919	17.9919	1.434444	0.059458	1.524109e-04	18.0064	1.436885	0.056239	1.479435e-04	18.0040	1.420658	0.021253	1.804736e-04	18.0203	1.420658	0.021253	1.804736e-04	18.0203	1.434444	0.059458	1.524109e-04	18.0064	1.436885	0.056239	1.479435e-04	18.0040	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	a488b76d-1a98-4a50-be7e-65e3d3bb9246	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.349 < 1.7	0.053085	0.047098	0.202302	0.10100000000000002	0.101	12	20	5	17.0	0.110745	1.348784	0.999362	6.843874e-04	16.6922	16.6922	1.434444	0.059458	2.402710e-04	16.7447	1.436885	0.056239	2.334266e-04	16.7459	1.420658	0.021253	2.831404e-04	16.7377	1.420658	0.021253	2.831404e-04	16.7377	1.434444	0.059458	2.402710e-04	16.7447	1.436885	0.056239	2.334266e-04	16.7459	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	a488b76d-1a98-4a50-be7e-65e3d3bb9246	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.362 < 1.7	0.055579	0.047098	0.202302	0.10100000000000002	0.101	12	20	5	16.0	0.089522	1.362061	0.999742	6.379472e-04	16.3904	16.3904	1.434444	0.059458	2.786061e-04	16.3344	1.436885	0.056239	2.711302e-04	16.3328	1.420658	0.021253	3.251599e-04	16.3436	1.420658	0.021253	3.251599e-04	16.3436	1.434444	0.059458	2.786061e-04	16.3344	1.436885	0.056239	2.711302e-04	16.3328	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	67e41e4a-6e9e-4716-af4c-6403d6306a99	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.318 < 1.7	0.049695	0.047098	0.202302	0.10100000000000002	0.101	12	19	6	15.5	0.098093	1.317794	0.999813	1.361438e-03	15.6058	15.6058	1.434444	0.059458	3.656280e-04	15.5810	1.436885	0.056239	3.561197e-04	15.5806	1.420658	0.021253	4.246673e-04	15.5832	1.420658	0.021253	4.246673e-04	15.5832	1.434444	0.059458	3.656280e-04	15.5810	1.436885	0.056239	3.561197e-04	15.5806	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No
6	A6	67e41e4a-6e9e-4716-af4c-6403d6306a99	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.316 < 1.7	0.050571	0.047098	0.202302	0.10100000000000002	0.101	12	19	5	16.0	0.104930	1.316183	0.999880	1.293719e-03	15.8610	15.8610	1.434444	0.059458	3.265591e-04	15.8942	1.436885	0.056239	3.177965e-04	15.8947	1.420658	0.021253	3.811256e-04	15.8913	1.420658	0.021253	3.811256e-04	15.8913	1.434444	0.059458	3.265591e-04	15.8942	1.436885	0.056239	3.177965e-04	15.8947	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No
7	A7	8493ccb5-eaa5-4498-95e8-97e4a59b57dd	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.517 < 1.7	0.063894	0.047098	0.202302	0.10100000000000002	0.101	12	20	3	19.0	0.098657	1.517444	0.999770	3.572619e-05	19.0563	19.0563	1.434444	0.059458	1.040246e-04	19.0651	1.436885	0.056239	1.007183e-04	19.0648	1.420658	0.021253	1.249755e-04	19.0669	1.420658	0.021253	1.249755e-04	19.0669	1.434444	0.059458	1.040246e-04	19.0651	1.436885	0.056239	1.007183e-04	19.0648	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	8493ccb5-eaa5-4498-95e8-97e4a59b57dd	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.496 < 1.7	0.057101	0.047098	0.202302	0.10100000000000002	0.101	12	20	4	19.5	0.110931	1.496401	0.999065	4.281746e-05	19.2673	19.2673	1.434444	0.059458	9.766133e-05	19.2400	1.436885	0.056239	9.447696e-05	19.2412	1.420658	0.021253	1.178986e-04	19.2329	1.420658	0.021253	1.178986e-04	19.2329	1.434444	0.059458	9.766133e-05	19.2400	1.436885	0.056239	9.447696e-05	19.2412	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	6137959d-3658-49a4-934c-54bc138ff9fd	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.376 < 1.7	0.050758	0.047098	0.202302	0.10100000000000002	0.101	12	19	4	16.5	0.106169	1.376187	0.999318	5.467910e-04	16.3437	16.3437	1.434444	0.059458	2.758788e-04	16.3616	1.436885	0.056239	2.682480e-04	16.3623	1.420658	0.021253	3.235354e-04	16.3578	1.420658	0.021253	3.235354e-04	16.3578	1.434444	0.059458	2.758788e-04	16.3616	1.436885	0.056239	2.682480e-04	16.3623	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	6137959d-3658-49a4-934c-54bc138ff9fd	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.378 < 1.7	0.050990	0.047098	0.202302	0.10100000000000002	0.101	12	19	5	16.0	0.096698	1.378298	0.998895	5.700718e-04	16.1357	16.1357	1.434444	0.059458	3.009398e-04	16.1206	1.436885	0.056239	2.928646e-04	16.1201	1.420658	0.021253	3.512255e-04	16.1240	1.420658	0.021253	3.512255e-04	16.1240	1.434444	0.059458	3.009398e-04	16.1206	1.436885	0.056239	2.928646e-04	16.1201	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
