id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	2f73aa92-dba0-478d-a6b6-66490b2e1d73	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042523	0.002570	0.025468	0.0125	0.0125	10	24	4	22.5	0.009629	1.751993	0.998466	3.192325e-08	22.9653	22.9653	1.769401	0.071658	2.555593e-08	22.9573	1.773766	0.059306	2.417774e-08	22.9553	1.768800	0.029720	2.575199e-08	22.9575	1.770602	0.030685	2.516880e-08	22.9567	1.773766	0.059306	2.417774e-08	22.9553	1.773766	0.059306	2.417774e-08	22.9553	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	2f73aa92-dba0-478d-a6b6-66490b2e1d73	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045695	0.002570	0.025468	0.0125	0.0125	7	24	4	22.5	0.009638	1.863815	0.999870	7.941637e-09	22.9177	22.9177	1.769401	0.071658	2.557872e-08	22.9557	1.773766	0.059306	2.419930e-08	22.9538	1.768800	0.029720	2.577496e-08	22.9560	1.770602	0.030685	2.519125e-08	22.9552	1.773766	0.059306	2.419930e-08	22.9538	1.773766	0.059306	2.419930e-08	22.9538	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	53fb5268-947d-4c19-a12f-523d258ceb5d	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.047193	0.002570	0.025468	0.0125	0.0125	7	24	3	22.0	0.007811	1.838522	0.999967	1.186776e-08	22.7722	22.7722	1.769401	0.071658	2.757420e-08	22.8241	1.773766	0.059306	2.611933e-08	22.8205	1.768800	0.029720	2.778103e-08	22.8246	1.770602	0.030685	2.716571e-08	22.8231	1.773766	0.059306	2.611933e-08	22.8205	1.773766	0.059306	2.611933e-08	22.8205	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
4	A4	53fb5268-947d-4c19-a12f-523d258ceb5d	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.047780	0.002570	0.025468	0.0125	0.0125	8	24	4	21.5	0.006545	1.769350	0.999264	3.075344e-08	22.6340	22.6340	1.769401	0.071658	3.073418e-08	22.6339	1.773766	0.059306	2.914846e-08	22.6291	1.768800	0.029720	3.095945e-08	22.6346	1.770602	0.030685	3.028915e-08	22.6326	1.773766	0.059306	2.914846e-08	22.6291	1.773766	0.059306	2.914846e-08	22.6291	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	5891fe3b-4402-418a-af18-6cf4e78b45b0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050128	0.002570	0.025468	0.0125	0.0125	8	24	4	21.5	0.008061	1.781210	0.999686	3.281128e-08	22.2599	22.2599	1.769401	0.071658	3.785557e-08	22.2687	1.773766	0.059306	3.590243e-08	22.2654	1.768800	0.029720	3.813304e-08	22.2692	1.770602	0.030685	3.730742e-08	22.2678	1.773766	0.059306	3.590243e-08	22.2654	1.773766	0.059306	3.590243e-08	22.2654	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	5891fe3b-4402-418a-af18-6cf4e78b45b0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.050766	0.002570	0.025468	0.0125	0.0125	10	24	4	21.5	0.008110	1.739473	0.999647	5.496098e-08	22.2814	22.2814	1.769401	0.071658	3.808648e-08	22.2581	1.773766	0.059306	3.612142e-08	22.2548	1.768800	0.029720	3.836564e-08	22.2585	1.770602	0.030685	3.753498e-08	22.2572	1.773766	0.059306	3.612142e-08	22.2548	1.773766	0.059306	3.612142e-08	22.2548	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	6f574cf4-634f-490e-9608-bf71c9185add	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.045891	0.002570	0.025468	0.0125	0.0125	10	24	4	21.5	0.006263	1.723312	0.998841	5.187570e-08	22.7697	22.7697	1.769401	0.071658	2.941188e-08	22.7110	1.773766	0.059306	2.789439e-08	22.7058	1.768800	0.029720	2.962747e-08	22.7117	1.770602	0.030685	2.898600e-08	22.7096	1.773766	0.059306	2.789439e-08	22.7058	1.773766	0.059306	2.789439e-08	22.7058	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	6f574cf4-634f-490e-9608-bf71c9185add	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043820	0.002570	0.025468	0.0125	0.0125	10	24	4	22.5	0.010149	1.792334	0.999662	2.015935e-08	22.8571	22.8571	1.769401	0.071658	2.693465e-08	22.8652	1.773766	0.059306	2.548211e-08	22.8636	1.768800	0.029720	2.714129e-08	22.8654	1.770602	0.030685	2.652663e-08	22.8648	1.773766	0.059306	2.548211e-08	22.8636	1.773766	0.059306	2.548211e-08	22.8636	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	0a563de4-bdfd-407d-823a-7d128f7f987a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.658 < 1.7	0.051850	0.002570	0.025468	0.0125	0.0125	10	23	4	20.5	0.008103	1.657666	0.996453	2.564350e-07	21.3576	21.3576	1.769401	0.071658	6.733258e-08	21.2596	1.773766	0.059306	6.401612e-08	21.2563	1.768800	0.029720	6.780307e-08	21.2600	1.770602	0.030685	6.640263e-08	21.2587	1.773766	0.059306	6.401612e-08	21.2563	1.773766	0.059306	6.401612e-08	21.2563	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	0a563de4-bdfd-407d-823a-7d128f7f987a	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.053939	0.002570	0.025468	0.0125	0.0125	6	22	4	20.5	0.006996	1.845382	0.999158	2.455290e-08	21.4472	21.4472	1.769401	0.071658	5.813400e-08	21.5170	1.773766	0.059306	5.527062e-08	21.5126	1.768800	0.029720	5.854022e-08	21.5176	1.770602	0.030685	5.733110e-08	21.5158	1.773766	0.059306	5.527062e-08	21.5126	1.773766	0.059306	5.527062e-08	21.5126	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
